Freq[Hz]    dBSPL  Phase[Deg]
10.0000     45.69   -46.59
10.1455     45.98   -47.26
10.2930     46.27   -47.94
10.4427     46.84   -49.33
10.5946     47.41   -50.77
10.7487     47.98   -52.37
10.9051     48.52   -54.15
11.0637     49.02   -56.06
11.2246     49.43   -57.91
11.3879     49.78   -59.31
11.5535     50.17   -60.21
11.7216     50.59   -60.70
11.8921     51.12   -60.85
12.0650     51.80   -61.10
12.2405     52.56   -61.94
12.4186     53.31   -63.34
12.5992     54.10   -65.38
12.7825     54.79   -68.04
12.9684     55.43   -71.01
13.1570     55.99   -74.17
13.3484     56.50   -77.43
13.5426     56.92   -80.61
13.7395     57.33   -83.71
13.9394     57.66   -86.77
14.1421     57.92   -89.47
14.3478     58.16   -91.65
14.5565     58.49   -93.55
14.7683     58.79   -95.28
14.9831     59.18   -96.89
15.2010     59.58   -98.67
15.4221     60.00  -100.75
15.6464     60.35  -102.96
15.8740     60.68  -105.12
16.1049     60.97  -107.16
16.3392     61.24  -108.89
16.5768     61.57  -110.43
16.8179     61.91  -111.89
17.0626     62.32  -113.47
17.3107     62.70  -115.27
17.5625     63.08  -117.22
17.8180     63.41  -119.25
18.0771     63.74  -121.30
18.3401     63.99  -123.22
18.6068     64.24  -124.76
18.8775     64.52  -126.04
19.1521     64.83  -127.17
19.4306     65.17  -128.08
19.7133     65.60  -128.89
20.0000     66.16  -130.03
20.2909     66.72  -131.70
20.5860     67.33  -134.01
20.8855     67.88  -137.07
21.1893     68.32  -140.74
21.4975     68.57  -144.44
21.8102     68.77  -147.78
22.1274     68.89  -150.66
22.4492     69.05  -153.17
22.7758     69.18  -155.44
23.1071     69.36  -157.63
23.4432     69.51  -159.91
23.7841     69.57  -161.97
24.1301     69.59  -163.40
24.4811     69.68  -164.24
24.8372     69.85  -164.78
25.1984     70.12  -165.19
25.5649     70.54  -165.90
25.9368     71.00  -167.35
26.3141     71.40  -169.44
26.6968     71.72  -171.88
27.0851     71.94  -174.28
27.4791     72.13  -176.47
27.8788     72.30  -178.35
28.2843     72.52  -179.98
28.6957     72.82   178.25
29.1131     73.15   175.93
29.5365     73.36   173.18
29.9661     73.49   170.39
30.4020     73.54   167.73
30.8442     73.48   165.50
31.2929     73.38   163.99
31.7480     73.33   163.07
32.2098     73.33   162.54
32.6783     73.39   162.29
33.1536     73.52   162.07
33.6359     73.66   161.84
34.1251     73.84   161.66
34.6215     74.02   161.55
35.1250     74.25   161.55
35.6359     74.53   161.66
36.1543     74.91   161.62
36.6802     75.31   161.27
37.2137     75.76   160.57
37.7550     76.22   159.40
38.3041     76.66   157.77
38.8613     77.03   155.80
39.4265     77.35   153.65
40.0000     77.57   151.52
40.5818     77.70   149.85
41.1721     77.86   148.74
41.7710     78.06   148.07
42.3785     78.37   147.64
42.9949     78.77   147.22
43.6203     79.31   146.37
44.2548     79.88   144.80
44.8985     80.45   142.53
45.5515     80.96   139.63
46.2141     81.41   136.23
46.8863     81.77   132.45
47.5683     82.01   128.58
48.2602     82.16   124.90
48.9621     82.27   121.54
49.6743     82.37   118.35
50.3968     82.42   115.34
51.1299     82.46   112.61
51.8736     82.51   110.07
52.6281     82.57   107.61
53.3936     82.62   105.20
54.1702     82.66   102.90
54.9581     82.71   100.67
55.7575     82.77    98.46
56.5685     82.83    96.14
57.3914     82.84    93.84
58.2261     82.84    91.69
59.0730     82.84    89.68
59.9323     82.86    87.71
60.8040     82.86    85.74
61.6884     82.85    83.89
62.5857     82.85    82.11
63.4960     82.85    80.35
64.4196     82.85    78.55
65.3566     82.81    76.85
66.3073     82.81    75.27
67.2717     82.80    73.58
68.2502     82.76    71.89
69.2429     82.65    70.54
70.2501     82.60    69.54
71.2719     82.59    68.60
72.3086     82.60    67.73
73.3603     82.65    66.90
74.4274     82.76    65.84
75.5099     82.85    64.53
76.6083     82.96    63.07
77.7226     83.05    61.39
78.8531     83.11    59.51
80.0000     83.11    57.57
81.1636     83.07    55.71
82.3442     82.98    54.08
83.5419     82.89    52.77
84.7570     82.82    51.68
85.9899     82.77    50.72
87.2406     82.76    49.78
88.5096     82.75    48.82
89.7970     82.75    47.86
91.1031     82.76    46.94
92.4282     82.81    45.94
93.7726     82.86    44.76
95.1366     82.90    43.40
96.5204     82.90    41.98
97.9243     82.89    40.60
99.3486     82.86    39.27
100.794     82.82    38.06
102.260     82.78    36.96
103.747     82.78    35.85
105.256     82.78    34.58
106.787     82.74    33.27
108.340     82.69    32.05
109.916     82.65    30.87
111.515     82.60    29.69
113.137     82.54    28.51
114.783     82.48    27.35
116.452     82.41    26.21
118.146     82.32    25.14
119.865     82.23    24.14
121.608     82.12    23.26
123.377     82.03    22.51
125.171     81.97    21.75
126.992     81.92    20.82
128.839     81.81    19.84
130.713     81.71    18.96
132.615     81.59    18.08
134.543     81.41    17.40
136.500     81.23    17.15
138.486     81.14    17.03
140.500     81.04    16.81
142.544     80.98    16.51
144.617     80.91    16.07
146.721     80.80    15.54
148.855     80.59    15.29
151.020     80.41    15.52
153.217     80.22    16.13
155.445     80.12    17.06
157.706     80.08    18.10
160.000     80.13    19.00
162.327     80.18    19.74
164.688     80.27    20.34
167.084     80.36    20.76
169.514     80.42    21.24
171.980     80.55    21.77
174.481     80.70    22.15
177.019     80.89    22.36
179.594     81.07    22.42
182.206     81.29    22.29
184.856     81.48    21.97
187.545     81.73    21.44
190.273     81.94    20.68
193.041     82.17    19.73
195.849     82.40    18.40
198.697     82.57    16.76
201.587     82.66    15.04
204.520     82.73    13.38
207.494     82.77    11.76
210.512     82.76    10.26
213.574     82.71     9.07
216.681     82.71     8.15
219.833     82.76     7.22
223.030     82.80     6.26
226.274     82.91     5.19
229.565     83.04     3.72
232.905     83.13     1.80
236.292     83.13    -0.28
239.729     83.09    -2.33
243.216     83.00    -4.33
246.754     82.83    -6.14
250.343     82.64    -7.55
253.984     82.46    -8.61
257.678     82.32    -9.52
261.426     82.17   -10.31
265.229     82.06   -10.98
269.087     81.98   -11.70
273.001     81.92   -12.59
276.972     81.83   -13.59
281.000     81.73   -14.56
285.088     81.62   -15.53
289.234     81.48   -16.45
293.441     81.36   -17.30
297.709     81.23   -18.11
302.040     81.12   -18.97
306.433     80.97   -19.86
310.890     80.83   -20.75
315.412     80.65   -21.62
320.000     80.47   -22.41
324.655     80.24   -23.07
329.377     80.05   -23.62
334.168     79.80   -24.04
339.028     79.58   -24.22
343.959     79.39   -24.43
348.962     79.17   -24.76
354.038     78.89   -24.91
359.188     78.60   -24.71
364.412     78.29   -24.20
369.713     77.95   -23.18
375.090     77.66   -21.53
380.546     77.50   -19.51
386.081     77.45   -17.52
391.697     77.49   -15.79
397.394     77.55   -14.36
403.175     77.64   -13.19
409.039     77.74   -12.23
414.989     77.83   -11.40
421.025     77.92   -10.56
427.149     78.06    -9.74
433.362     78.24    -9.05
439.665     78.46    -8.64
446.060     78.68    -8.51
452.548     78.94    -8.73
459.131     79.20    -9.36
465.809     79.43   -10.34
472.584     79.65   -11.72
479.458     79.80   -13.43
486.432     79.90   -15.32
493.507     79.97   -17.39
500.686     79.99   -19.70
507.968     79.91   -22.11
515.357     79.76   -24.52
522.853     79.50   -26.77
530.458     79.14   -28.53
538.174     78.76   -29.84
546.002     78.30   -30.63
553.943     77.83   -30.69
562.001     77.38   -30.08
570.175     76.99   -29.01
578.469     76.56   -27.32
586.883     76.29   -25.09
595.419     76.11   -22.68
604.080     76.01   -20.14
612.866     75.99   -17.51
621.780     76.11   -14.99
630.824     76.32   -12.80
640.000     76.61   -11.06
649.309     76.96    -9.96
658.753     77.29    -9.46
668.335     77.62    -9.38
678.056     78.04   -10.11
687.919     78.30   -11.73
697.925     78.40   -13.59
708.077     78.40   -15.35
718.376     78.30   -16.92
728.825     78.00   -17.67
739.426     77.76   -17.29
750.181     77.64   -16.29
761.093     77.63   -15.05
772.163     77.73   -13.73
783.394     78.04   -12.98
794.789     78.28   -13.01
806.349     78.53   -13.56
818.078     78.70   -14.59
829.977     78.80   -15.92
842.050     78.71   -16.88
854.298     78.76   -17.58
866.724     78.62   -18.05
879.330     78.53   -17.76
892.120     78.52   -17.03
905.097     78.61   -16.10
918.262     78.80   -15.06
931.618     79.19   -14.42
945.169     79.65   -14.77
958.917     80.10   -16.13
972.864     80.50   -18.52
987.015     80.72   -21.68
1001.37     80.76   -24.99
1015.94     80.62   -27.99
1030.71     80.33   -30.13
1045.71     79.95   -30.92
1060.92     79.65   -30.31
1076.35     79.59   -28.87
1092.00     79.82   -27.42
1107.89     80.27   -26.62
1124.00     80.93   -27.19
1140.35     81.57   -29.53
1156.94     82.11   -33.50
1173.77     82.41   -38.58
1190.84     82.52   -44.26
1208.16     82.35   -49.93
1225.73     81.98   -54.92
1243.56     81.47   -58.93
1261.65     80.96   -62.07
1280.00     80.38   -64.42
1298.62     79.87   -66.02
1317.51     79.40   -67.14
1336.67     79.04   -68.11
1356.11     78.70   -69.16
1375.84     78.43   -70.40
1395.85     78.14   -72.02
1416.15     77.82   -74.08
1436.75     77.31   -76.14
1457.65     76.71   -77.68
1478.85     76.03   -78.57
1500.36     75.26   -78.56
1522.19     74.48   -77.49
1544.33     73.81   -75.52
1566.79     73.23   -72.96
1589.58     72.76   -70.01
1612.70     72.41   -66.82
1636.16     72.16   -63.53
1659.95     72.02   -60.34
1684.10     71.93   -57.25
1708.60     71.93   -54.22
1733.45     72.02   -51.46
1758.66     72.16   -49.04
1784.24     72.35   -46.99
1810.19     72.54   -45.29
1836.52     72.73   -43.79
1863.24     72.94   -42.40
1890.34     73.19   -41.16
1917.83     73.52   -40.27
1945.73     73.81   -39.82
1974.03     74.10   -39.64
2002.74     74.38   -39.72
2031.87     74.62   -39.98
2061.43     74.82   -40.09
2091.41     75.10   -40.14
2121.83     75.40   -40.31
2152.69     75.74   -40.50
2184.01     76.23   -41.01
2215.77     76.76   -42.07
2248.00     77.52   -44.21
2280.70     78.28   -48.46
2313.87     78.73   -54.79
2347.53     78.70   -61.66
2381.68     78.41   -67.62
2416.32     77.83   -72.02
2451.46     77.16   -74.46
2487.12     76.68   -75.36
2523.30     76.61   -76.07
2560.00     76.76   -78.02
2597.24     76.84   -81.42
2635.01     76.76   -85.74
2673.34     76.50   -90.38
2712.23     76.09   -95.01
2751.68     75.51   -99.44
2791.70     74.73  -103.30
2832.31     73.81  -106.14
2873.50     72.82  -107.79
2915.30     71.76  -108.24
2957.70     70.59  -107.09
3000.72     69.48  -104.08
3044.37     68.54   -99.41
3088.65     67.73   -92.58
3133.58     67.82   -85.17
3179.16     68.32   -79.49
3225.40     68.95   -75.30
3272.31     69.94   -73.24
3319.91     71.01   -75.22
3368.20     71.46   -79.78
3417.19     71.72   -84.91
3466.89     71.67   -90.69
3517.32     71.21   -95.89
3568.48     70.56   -99.75
3620.39     69.80  -102.49
3673.05     68.91  -103.83
3726.47     68.16  -103.93
3780.67     67.52  -103.52
3835.67     66.80  -102.56
3891.46     66.15  -100.70
3948.06     65.70   -98.43
4005.49     65.36   -96.29
4063.75     65.07   -94.38
4122.86     64.78   -92.52
4182.82     64.53   -90.72
4243.66     64.20   -88.67
4305.39     63.95   -86.08
4368.01     63.74   -82.99
4431.55     63.73   -79.59
4496.01     63.92   -76.43
4561.40     64.29   -73.98
4627.75     64.76   -72.48
4695.06     65.40   -72.48
4763.35     65.99   -74.49
4832.64     66.30   -77.94
4902.93     66.40   -82.17
4974.24     66.27   -86.90
5046.60     65.77   -91.25
5120.00     64.99   -94.12
5194.47     64.16   -95.36
5270.03     63.26   -95.05
5346.68     62.39   -93.09
5424.45     61.65   -89.54
5503.35     61.21   -84.97
5583.40     61.10   -80.22
5664.61     61.26   -75.81
5747.01     61.76   -72.37
5830.60     62.50   -70.96
5915.41     63.14   -71.73
6001.45     63.65   -74.25
6088.74     63.95   -78.25
6177.30     63.94   -83.00
6267.15     63.64   -87.61
6358.31     63.07   -91.31
6450.80     62.34   -93.64
6544.62     61.60   -94.57
6639.82     60.92   -94.55
6736.40     60.29   -93.87
6834.38     59.88   -93.14
6933.79     59.42   -92.58
7034.64     59.01   -91.94
7136.96     58.56   -91.22
7240.77     58.13   -90.44
7346.09     57.63   -89.44
7452.94     57.24   -88.36
7561.35     56.83   -87.54
7671.33     56.33   -86.68
7782.91     55.75   -85.42
7896.12     55.13   -83.61
8010.97     54.49   -81.25
8127.49     53.82   -78.25
8245.71     53.12   -74.26
8365.65     52.47   -69.03
8487.33     51.92   -62.53
8610.78     51.60   -54.93
8736.03     51.65   -46.76
8863.09     52.15   -38.98
8992.01     53.00   -32.48
9122.80     54.15   -28.15
9255.50     55.38   -26.80
9390.12     56.30   -28.13
9526.70     56.96   -31.56
9665.27     57.03   -35.54
9805.86     56.86   -38.43
9948.49     56.43   -39.74
10093.2     56.03   -39.45
10240.0     55.66   -37.79
10388.9     55.70   -35.86
10540.1     55.73   -34.55
10693.4     55.77   -33.46
10848.9     55.80   -32.48
11006.7     55.84   -31.58
11166.8     55.87   -30.72
11329.2     55.91   -29.90
11494.0     55.94   -29.12
11661.2     55.98   -28.36
11830.8     56.01   -27.63
12002.9     56.05   -26.92
12177.5     56.08   -26.24
12354.6     56.12   -25.57
12534.3     56.15   -24.92
12716.6     56.19   -24.29
12901.6     56.22   -23.68
13089.2     56.25   -23.09
13279.6     56.29   -22.51
13472.8     56.32   -21.95
13668.8     56.36   -21.41
13867.6     56.39   -20.88
14069.3     56.43   -20.36
14273.9     56.46   -19.86
14481.5     56.50   -19.37
14692.2     56.53   -18.90
14905.9     56.57   -18.44
15122.7     56.60   -18.00
15342.7     56.64   -17.56
15565.8     56.67   -17.15
15792.2     56.71   -16.74
16021.9     56.74   -16.35
16255.0     56.78   -15.97
16491.4     56.81   -15.60
16731.3     56.85   -15.24
16974.7     56.88   -14.90
17221.6     56.92   -14.57
17472.1     56.95   -14.26
17726.2     56.99   -13.95
17984.0     57.02   -13.66
18245.6     57.06   -13.39
18511.0     57.09   -13.12
18780.2     57.12   -12.87
19053.4     57.16   -12.63
19330.5     57.19   -12.41
19611.7     57.23   -12.20
19897.0     57.26   -12.01
20186.4     57.30   -11.84
20480.0     57.33   -11.69
20777.9     57.37   -11.56
21080.1     57.40   -11.45
21386.7     57.44   -11.39
21697.8     57.46   -11.36
22000.0     57.47   -11.33
