Freq[Hz]  Imp[Ohm] Phase[Deg]
10.0000      4.70    30.17
10.1455      4.71    30.18
10.2930      4.73    30.18
10.4427      4.75    30.19
10.5946      4.78    30.18
10.7487      4.80    30.13
10.9051      4.82    30.09
11.0637      4.83    30.07
11.2246      4.85    30.06
11.3879      4.86    30.07
11.5535      4.87    30.11
11.7216      4.88    30.16
11.8921      4.89    30.26
12.0650      4.90    30.41
12.2405      4.91    30.60
12.4186      4.93    30.80
12.5992      4.95    30.98
12.7825      4.97    31.11
12.9684      4.99    31.24
13.1570      5.01    31.38
13.3484      5.02    31.54
13.5426      5.04    31.76
13.7395      5.06    32.00
13.9394      5.09    32.22
14.1421      5.12    32.39
14.3478      5.14    32.55
14.5565      5.17    32.70
14.7683      5.19    32.85
14.9831      5.21    33.03
15.2010      5.23    33.26
15.4221      5.25    33.54
15.6464      5.27    33.86
15.8740      5.31    34.17
16.1049      5.34    34.45
16.3392      5.38    34.70
16.5768      5.42    34.92
16.8179      5.45    35.13
17.0626      5.49    35.36
17.3107      5.52    35.60
17.5625      5.56    35.84
17.8180      5.60    36.09
18.0771      5.64    36.33
18.3401      5.68    36.55
18.6068      5.72    36.79
18.8775      5.76    37.05
19.1521      5.80    37.32
19.4306      5.84    37.61
19.7133      5.88    37.92
20.0000      5.93    38.24
20.2909      5.99    38.55
20.5860      6.04    38.86
20.8855      6.10    39.16
21.1893      6.16    39.44
21.4975      6.22    39.72
21.8102      6.28    40.01
22.1274      6.34    40.31
22.4492      6.41    40.62
22.7758      6.48    40.91
23.1071      6.55    41.20
23.4432      6.62    41.51
23.7841      6.70    41.81
24.1301      6.77    42.12
24.4811      6.85    42.45
24.8372      6.94    42.78
25.1984      7.04    43.10
25.5649      7.13    43.41
25.9368      7.23    43.75
26.3141      7.33    44.09
26.6968      7.45    44.44
27.0851      7.57    44.76
27.4791      7.70    45.03
27.8788      7.83    45.30
28.2843      7.97    45.58
28.6957      8.11    45.86
29.1131      8.26    46.14
29.5365      8.42    46.44
29.9661      8.60    46.72
30.4020      8.79    46.97
30.8442      9.00    47.19
31.2929      9.21    47.38
31.7480      9.44    47.55
32.2098      9.69    47.65
32.6783      9.95    47.68
33.1536     10.22    47.69
33.6359     10.52    47.65
34.1251     10.82    47.56
34.6215     11.15    47.46
35.1250     11.50    47.33
35.6359     11.89    47.12
36.1543     12.30    46.82
36.6802     12.76    46.43
37.2137     13.24    45.90
37.7550     13.75    45.24
38.3041     14.28    44.48
38.8613     14.84    43.65
39.4265     15.47    42.74
40.0000     16.15    41.69
40.5818     16.94    40.42
41.1721     17.78    38.88
41.7710     18.71    36.99
42.3785     19.68    34.68
42.9949     20.66    31.96
43.6203     21.62    28.80
44.2548     22.49    25.26
44.8985     23.24    21.39
45.5515     23.83    17.28
46.2141     24.24    13.01
46.8863     24.43     8.69
47.5683     24.45     4.37
48.2602     24.27     0.11
48.9621     23.94    -4.01
49.6743     23.46    -7.96
50.3968     22.87   -11.71
51.1299     22.20   -15.24
51.8736     21.47   -18.57
52.6281     20.70   -21.69
53.3936     19.90   -24.62
54.1702     19.08   -27.39
54.9581     18.21   -29.97
55.7575     17.30   -32.22
56.5685     16.40   -34.08
57.3914     15.54   -35.58
58.2261     14.74   -36.76
59.0730     14.03   -37.72
59.9323     13.39   -38.55
60.8040     12.79   -39.28
61.6884     12.19   -39.86
62.5857     11.63   -40.23
63.4960     11.09   -40.38
64.4196     10.61   -40.34
65.3566     10.18   -40.15
66.3073      9.79   -39.85
67.2717      9.42   -39.46
68.2502      9.09   -38.96
69.2429      8.80   -38.41
70.2501      8.54   -37.85
71.2719      8.30   -37.29
72.3086      8.07   -36.71
73.3603      7.84   -36.09
74.4274      7.63   -35.39
75.5099      7.45   -34.65
76.6083      7.27   -33.87
77.7226      7.10   -33.03
78.8531      6.96   -32.17
80.0000      6.84   -31.35
81.1636      6.71   -30.55
82.3442      6.60   -29.75
83.5419      6.50   -29.01
84.7570      6.39   -28.26
85.9899      6.29   -27.47
87.2406      6.19   -26.63
88.5096      6.09   -25.76
89.7970      6.01   -24.85
91.1031      5.94   -23.94
92.4282      5.86   -23.02
93.7726      5.80   -22.08
95.1366      5.75   -21.15
96.5204      5.70   -20.23
97.9243      5.66   -19.31
99.3486      5.63   -18.43
100.794      5.60   -17.63
102.260      5.57   -16.88
103.747      5.55   -16.16
105.256      5.52   -15.47
106.787      5.49   -14.79
108.340      5.46   -14.10
109.916      5.42   -13.38
111.515      5.40   -12.65
113.137      5.38   -11.95
114.783      5.35   -11.23
116.452      5.33   -10.50
118.146      5.32    -9.80
119.865      5.30    -9.10
121.608      5.29    -8.41
123.377      5.28    -7.74
125.171      5.26    -7.07
126.992      5.25    -6.41
128.839      5.25    -5.76
130.713      5.23    -5.11
132.615      5.23    -4.44
134.543      5.22    -3.79
136.500      5.22    -3.14
138.486      5.21    -2.48
140.500      5.21    -1.83
142.544      5.21    -1.19
144.617      5.21    -0.55
146.721      5.22     0.08
148.855      5.22     0.68
151.020      5.23     1.27
153.217      5.24     1.84
155.445      5.24     2.41
157.706      5.25     2.97
160.000      5.25     3.54
162.327      5.26     4.12
164.688      5.27     4.69
167.084      5.29     5.24
169.514      5.30     5.78
171.980      5.31     6.31
174.481      5.33     6.82
177.019      5.34     7.31
179.594      5.35     7.80
182.206      5.36     8.30
184.856      5.38     8.79
187.545      5.39     9.30
190.273      5.41     9.82
193.041      5.43    10.31
195.849      5.44    10.78
198.697      5.46    11.25
201.587      5.48    11.70
204.520      5.50    12.16
207.494      5.51    12.63
210.512      5.53    13.11
213.574      5.56    13.56
216.681      5.58    14.01
219.833      5.60    14.44
223.030      5.62    14.86
226.274      5.65    15.29
229.565      5.67    15.72
